fromBus;toBus;r;x;b;alpha;c
1;2;0;0.02348;0;0,15;0
1;2;0;0.02345;0;0,11;0
6;2;0;0.01533;0;0,09;355
6;2;0;0.01603;0;0,13;300
4;3;0;0.05409;0;0,13;185
5;3;0;0.08701;0;0,08;285
4;8;0;0.10355;0;0,07;225
8;4;0;0.10192;0;0,14;240
5;7;0;0.03086;0;0,14;1310
6;7;0;0.03288;0;0,14;720
6;7;0;0.06928;0;0,06;375
6;7;0;0.07738;0;0,11;700
7;6;0;0.0342;0;0,1;855
10;6;0;0.06738;0;0,14;700
7;8;0;0.03422;0;0,11;300
8;7;0;0.10063;0;0,12;500
9;8;0;0.0695;0;0,11;500
9;8;0;0.07077;0;0,15;500
11;9;0;0.05734;0;0,11;520
13;9;0;0.06538;0;0,11;500
12;10;0;0.04151;0;0,13;350
13;11;0;0.03911;0;0,05;250
12;15;0;0.04595;0;0,12;275
15;13;0;0.10509;0;0,12;250
15;13;0;0.10067;0;0,06;250
15;14;0;0.0239;0;0,13;1100